gene_symbol	inheritance	prevalence	allelic_het	genetic_het	penetrance	bs1_threshold	bs1_strength	bs1_exclude	ba1_threshold	af_basis	pm2_threshold	pm2_strength	pm2_basis	pm2_subpop	pm2_zygosity	pm2_subset	pm2_min_depth	pm4	pm4_supporting_max_aa	pp2	pp2_requires	pm5_grantham	pm5_excludes	pm5_max	pm5_lp	bs2	bs2_count	bs2_strength	bs2_female_only	bs2_hom_only	pvs1	ps1	ps1_splice	ps1_max	ps1_paralog_group	ps1_paralog_strength	bp1	bp1_target	bp1_exclude	bp1_strength	bp1_no_splice	bp3	bp3_regions	bp7_phylop	bp7_intronic	bp4_splice_cutoff	bp7_splice_cutoff	revel_pp3_supporting	revel_pp3_moderate	revel_pp3_strong	revel_bp4_supporting	revel_bp4_moderate	revel_bp4_strong	source_vcep	cspec_url	notes
RRAS2	AD					0.00025	Strong		0.0005		0							applicable		not_applicable				Strong	no	not_applicable					not_applicable	applicable					applicable	truncating				not_applicable			noncanonical			0.7			0.3			RASopathy Variant Curation Expert Panel	https://cspec.genome.network/cspec/ui/svi/svi/GN127	GN127 Released
RS1	XL					0.00002	Strong		0.0002	males	0.000002							applicable		not_applicable		ge		Moderate		not_applicable					applicable	applicable	canonical				not_applicable					not_applicable		0.1				0.644	0.773	0.931	0.29	0.183	0.003	X-linked Inherited Retinal Disease Variant Curation Expert Panel	https://cspec.genome.network/cspec/ui/svi/svi/GN126	GN126 Released
RUNX1	AD					0.00015	Strong		0.0015		0.00005		faf	point				applicable		not_applicable		ge	PM1	Strong		not_applicable					applicable	applicable	canonical				not_applicable					not_applicable		na	noncanonical	0.20	0.20	0.88			0.5			Myeloid Malignancy Variant Curation Expert Panel	https://cspec.genome.network/cspec/ui/svi/svi/GN008	GN008 Released; BS1: multiple cutoffs in desc — verify
RYR1	AR					0.000697	Strong		0.00697		0							applicable		not_applicable		gt		Strong		not_applicable					not_applicable	applicable					not_applicable					not_applicable							0.85		0.5			Congenital Myopathies Variant Curation Expert Panel	https://cspec.genome.network/cspec/ui/svi/svi/GN179	GN179 Released; multiple specs (kept conservative)
RYR2	AD																																																					RYR2 Variant Curation Expert Panel	https://cspec.genome.network/cspec/ui/svi/svi/GN235	GN235 Classification Rules Submitted
SCN1A	AD					0.000004	Strong		0.0002									applicable		not_applicable				Strong		not_applicable					applicable	applicable	canonical				not_applicable					applicable												Epilepsy Sodium Channel Variant Curation Expert Panel	https://cspec.genome.network/cspec/ui/svi/svi/GN067	GN067 Released
SCN1B	AD,AR					0.0001	Strong		0.003									applicable		not_applicable				Strong		applicable					applicable	applicable	canonical				not_applicable					applicable												Epilepsy Sodium Channel Variant Curation Expert Panel	https://cspec.genome.network/cspec/ui/svi/svi/GN076	GN076 Released
SCN2A	AD					0.000002	Strong		0.0001									applicable		not_applicable				Strong		not_applicable					applicable	applicable	canonical				not_applicable					applicable												Epilepsy Sodium Channel Variant Curation Expert Panel	https://cspec.genome.network/cspec/ui/svi/svi/GN068	GN068 Released
SCN3A	AD					0.000002	Strong		0.0001									applicable		not_applicable				Strong		not_applicable					applicable	applicable	canonical				not_applicable					applicable												Epilepsy Sodium Channel Variant Curation Expert Panel	https://cspec.genome.network/cspec/ui/svi/svi/GN069	GN069 Released
SCN8A	AD					0.000002	Strong		0.0001									applicable		not_applicable				Strong		not_applicable					applicable	applicable	canonical				not_applicable					applicable												Epilepsy Sodium Channel Variant Curation Expert Panel	https://cspec.genome.network/cspec/ui/svi/svi/GN070	GN070 Released
SDHB	AD																																																					Endocrine Tumor Predisposition Variant Curation Expert Panel	https://cspec.genome.network/cspec/ui/svi/svi/GN214	GN214 Pilot Rules In Prep
SERPINC1	AD					0.0002	Strong		0.002		0.00002							applicable		not_applicable				Moderate		not_applicable					applicable	applicable					not_applicable					not_applicable		0.1				0.6			0.3			Thrombosis Variant Curation Expert Panel 	https://cspec.genome.network/cspec/ui/svi/svi/GN084	GN084 Released
SERPING1																																																						Hereditary Angioedema Variant Curation Expert Panel 	https://cspec.genome.network/cspec/ui/svi/svi/GN133	GN133 Pilot Rules In Prep
SGCA	AR					0.0009	Strong		0.002		0.00009			ci95				applicable		not_applicable				Strong		not_applicable					applicable	applicable	canonical				not_applicable					not_applicable				0.05	0.05	0.7			0.1			Limb Girdle Muscular Dystrophy Variant Curation Expert Panel	https://cspec.genome.network/cspec/ui/svi/svi/GN189	GN189 Released; populated over empty placeholder
SGCB	AR					0.0009	Strong		0.002		0.00009			ci95				applicable		not_applicable				Strong		not_applicable					applicable	applicable	canonical				not_applicable					not_applicable				0.05	0.05	0.7			0.1			Limb Girdle Muscular Dystrophy Variant Curation Expert Panel	https://cspec.genome.network/cspec/ui/svi/svi/GN184	GN184 Released
SGCD	AR					0.0009	Strong		0.002		0.00009			ci95				applicable		not_applicable				Strong		not_applicable					applicable	applicable	canonical				not_applicable					not_applicable				0.05	0.05	0.7			0.1			Limb Girdle Muscular Dystrophy Variant Curation Expert Panel	https://cspec.genome.network/cspec/ui/svi/svi/GN186	GN186 Released
SGCG	AR					0.0009	Strong		0.002		0.00009			ci95				applicable		not_applicable				Strong		not_applicable					applicable	applicable	canonical				not_applicable					not_applicable				0.05	0.05	0.7			0.1			Limb Girdle Muscular Dystrophy Variant Curation Expert Panel	https://cspec.genome.network/cspec/ui/svi/svi/GN185	GN185 Released
SHOC2	AD					0.00025	Strong		0.0005		0							applicable		not_applicable			PM1	Strong	no	not_applicable					not_applicable	applicable					applicable	truncating				not_applicable			noncanonical			0.7			0.3			RASopathy Variant Curation Expert Panel	https://cspec.genome.network/cspec/ui/svi/svi/GN038	GN038 Released; multiple specs (gene-specific kept)
SLC19A3						0.0005	Strong		0.001		0.00005	Moderate						applicable		not_applicable				Moderate	no	applicable				1	applicable	applicable					not_applicable					applicable						0.75			0.15			Mitochondrial Diseases Variant Curation Expert Panel	https://cspec.genome.network/cspec/ui/svi/svi/GN014	GN014 Released
