cspec_id	disease_label	source_gn	gene_symbol	inheritance	prevalence	allelic_het	genetic_het	penetrance	bs1_threshold	bs1_strength	bs1_exclude	ba1_threshold	af_basis	ba1_hom_count	pm2_threshold	pm2_strength	pm2_basis	pm2_subpop	pm2_zygosity	pm2_subset	pm2_min_depth	pm4	pm4_supporting_max_aa	pp2	pp2_requires	pm5_grantham	pm5_excludes	pm5_max	pm5_lp	pm5_min_count	bs2	bs2_count	bs2_strength	bs2_female_only	bs2_hom_only	pvs1	ps1	ps1_splice	ps1_max	ps1_paralog_group	ps1_paralog_strength	bp1	bp1_target	bp1_exclude	bp1_strength	bp1_no_splice	bp3	bp3_regions	bp7_phylop	bp7_intronic	bp4_splice_cutoff	bp7_splice_cutoff	revel_pp3_supporting	revel_pp3_moderate	revel_pp3_strong	revel_bp4_supporting	revel_bp4_moderate	revel_bp4_strong	source_vcep	cspec_url	notes
malignant_hyperthermia	悪性高熱症感受性	GN012	RYR1						0.0008	Strong		0.0038	popmax									not_applicable		not_applicable		gt		Moderate			not_applicable					not_applicable	applicable					not_applicable					not_applicable							0.85		0.5			Malignant Hyperthermia Susceptibility Variant Curation Expert Panel	https://cspec.genome.network/cspec/ui/svi/svi/GN012	GN012 Released
congenital_myopathy_ad	先天性ミオパチー (AD)	GN150	RYR1	AD					0.00000486	Strong		0.0000486	popmax		0							applicable		not_applicable				Strong			not_applicable					not_applicable	applicable					not_applicable					not_applicable						0.7			0.15			Congenital Myopathies Variant Curation Expert Panel	https://cspec.genome.network/cspec/ui/svi/svi/GN150	GN150 Released
congenital_myopathy_ar	先天性ミオパチー (AR)	GN179	RYR1	AR					0.000697	Strong		0.00697	popmax		0.00000697							applicable		not_applicable				Strong			not_applicable					applicable	applicable					not_applicable					not_applicable						0.7			0.15			Congenital Myopathies Variant Curation Expert Panel	https://cspec.genome.network/cspec/ui/svi/svi/GN179	GN179 Released
congenital_myopathy_ad	先天性ミオパチー (AD)	GN147	ACTA1	AD					0.00000781	Strong		0.0000781			0							applicable		applicable				Strong			not_applicable					not_applicable	applicable					not_applicable					not_applicable						0.7			0.15			Congenital Myopathies Variant Curation Expert Panel	https://cspec.genome.network/cspec/ui/svi/svi/GN147	GN147 Released
congenital_myopathy_ar	先天性ミオパチー (AR)	GN169	ACTA1	AR					0.00025	Strong		0.0025			0.000005							applicable		not_applicable				Strong			not_applicable					applicable	applicable					not_applicable					not_applicable						0.7			0.15			Congenital Myopathies Variant Curation Expert Panel	https://cspec.genome.network/cspec/ui/svi/svi/GN169	GN169 Released
vwd_ad	フォン・ヴィレブランド病 (AD・1/2型)	GN081	VWF	AD					0.01	Strong		0.1			0.0001							applicable		not_applicable				Moderate			not_applicable					not_applicable	applicable					not_applicable					not_applicable						0.644			0.29			von Willebrand Disease  Variant Curation Expert Panel	https://cspec.genome.network/cspec/ui/svi/svi/GN081	GN081 Released
vwd_ar	フォン・ヴィレブランド病 (AR・3型)	GN090	VWF	AR					0.01	Strong		0.1			0.005							applicable		not_applicable				Moderate			not_applicable					not_applicable	applicable					not_applicable					not_applicable						0.644			0.29			von Willebrand Disease  Variant Curation Expert Panel	https://cspec.genome.network/cspec/ui/svi/svi/GN090	GN090 Released
