gene	inheritance
ATP1A2	AD
ATP1A3	AD
ATP2A1	AR
ATP2A2	AD
ATP2B1	AD
ATP2B2	AD
ATP2B3	XL
ATP2C1	AD
ATP5F1A	AD/AR
ATP5F1B	AD
ATP5F1E	AR
ATP5MC3	AD
ATP5MK	AR
ATP5PO	AR
ATP6AP1	XL
ATP6AP2	XL
ATP6V0A1	AD/AR
ATP6V0A2	AR
ATP6V0A4	AR
ATP6V0C	AD
ATP6V1A	AR
ATP6V1B1	AR
ATP6V1B2	AD
ATP6V1E1	AR
ATP7A	XL
ATP7B	AR
ATP8A2	AR
ATP8B1	AD/AR
ATP9A	AR
ATPAF2	AR
ATR	AD/AR
ATRX	XL
ATXN1	AD
ATXN10	AD
ATXN2	AD
ATXN3	AD
ATXN7	AD
ATXN8	AD
ATXN8OS	AD
AUH	AR
AURKC	AR
AUTS2	AD
AVIL	AR
AVP	AD/AR
AVPR2	XL
AXIN1	AR
AXIN2	AD
B2M	AD/AR
B3GALNT2	AR
B3GALT6	AR
B3GAT3	AR
B3GLCT	AR
B4GALNT1	AR
B4GALT1	AR
B4GALT7	AR
B4GAT1	AR
B9D1	AR
B9D2	AR
BAAT	AR
BACH2	AD
BAG3	AD
BAG5	AR
BANF1	AR
BAP1	AD
BARD1	AD
BBIP1	AR
BBS1	AR
BBS10	AR
BBS12	AR
BBS2	AR
BBS4	AR
BBS5	AR
BBS7	AR
BBS9	AR
BCAP31	XL
BCAS3	AR
BCAT2	AR
BCHE	AR
BCKDHA	AR
BCKDHB	AR
BCKDK	AR
BCL10	AR
BCL11A	AD
BCL11B	AD
BCO1	AD
BCOR	XL
BCORL1	XL
BCR	AD
BCS1L	AR
BDNF	AD
BDP1	AR
BEAN1	AD
BEST1	AD
BET1	AR
BFSP1	AR
BFSP2	AD/AR
BGN	XL
BHLHA9	AR
BHLHE41	AD
BICC1	AD
BICD2	AD
BIN1	AR
BLK	AD
BLM	AR
BLNK	AR
BLOC1S3	AR
BLOC1S5	AR
BLOC1S6	AR
BLVRA	AD/AR
BMP1	AR
BMP15	XL
BMP2	AD
BMP4	AD
BMP6	AD/AR
BMPER	AR
BMPR1A	AD
BMPR1B	AD/AR
BMPR2	AD
BMS1	AD
BNC1	AD
BNC2	AD
BOLA3	AR
BORCS8	AR
BPGM	AD/AR
BPNT2	AR
BPTF	AD
BRAF	AD
BRAT1	AR
BRCA1	AD/AR
BRCA2	AD/AR
BRD4	AD
BRDT	AR
BRF1	AR
BRIP1	AD/AR
BRPF1	AD
BRWD1	AR
BRWD3	XL
BSCL2	AR
BSND	AR
BTD	AR
BTG4	AR
BTK	XL
BUB1	AR
BUB1B	AD/AR
BVES	AR
C11ORF80	AR
C12ORF4	AR
C12ORF57	AR
C12ORF65	AR
C14ORF39	AR
C18ORF32	AR
C19ORF12	AD/AR
C1GALT1C1	XL
C1QA	AR
C1QB	AR
C1QBP	AR
C1QC	AR
C1QTNF5	AD
C1R	AD
C1S	AD/AR
C2	AR
C2CD3	AR
C2CD6	AR
C2ORF69	AR
C3	AD/AR
C3ORF52	AR
C4B	AR
C5	AD/AR
C6	AR
C7	AR
C8A	AR
C8B	AR
C8ORF37	AR
C9	AR
C9ORF72	AD
C9orf72	AD
CA12	AR
CA2	AR
CA4	AD
CA5A	AR
CA8	AR
CABP2	AR
CABP4	AR
CACNA1A	AD
CACNA1B	AD
CACNA1C	AD
CACNA1D	AD/AR
CACNA1E	AD
CACNA1F	XL
