gene	inheritance
FOXG1	AD
FOXH1	AD
FOXI1	AR
FOXI3	AD/AR
FOXJ1	AD
FOXL1	AD
FOXL2	AD
FOXN1	AD/AR
FOXP1	AD
FOXP2	AD
FOXP3	XL
FOXRED1	AR
FRA10AC1	AR
FRAS1	AR
FREM1	AD/AR
FREM2	AR
FRMD4A	AR
FRMD5	AD
FRMD7	XL
FRMPD4	XL
FRRS1L	AR
FRYL	AD
FSCN2	AD
FSHB	AR
FSHMD1A	AD/AR
FSHR	AD/AR
FSIP2	AR
FTCD	AR
FTH1	AD
FTL	AD/AR
FTO	AR
FTSJ1	XL
FUCA1	AR
FUS	AD/AR
FUT3	AD
FUT6	AR
FUT8	AR
FUZ	AD
FXN	AR
FXR1	AR
FXYD2	AD
FYB1	AR
FYCO1	AR
FZD2	AD
FZD4	AD
FZD5	AD
FZD6	AR
G6PC1	AR
G6PC3	AR
G6PD	XL
GAA	AR
GAB1	AR
GABBR1	AD
GABBR2	AD
GABRA1	AD
GABRA2	AD
GABRA5	AD
GABRB1	AD
GABRB2	AD
GABRB3	AD
GABRG2	AD
GAD1	AR
GAL	AD
GALC	AR
GALE	AR
GALK1	AR
GALM	AR
GALNS	AR
GALNT12	AD
GALNT2	AR
GALNT3	AR
GALT	AR
GAMT	AR
GAN	AR
GANAB	AD
GARS1	AD
GAS1	AD
GAS2	AR
GAS8	AR
GATA1	XL
GATA2	AD
GATA3	AD
GATA4	AD
GATA5	AD
GATA6	AD
GATAD1	AR
GATAD2B	AD
GATB	AR
GATC	AR
GATM	AD/AR
GBA	AR
GBA1	AR
GBA2	AR
GBE1	AR
GBF1	AD
GCDH	AR
GCGR	AR
GCH1	AD/AR
GCK	AD/AR
GCLC	AR
GCM2	AD/AR
GCNA	XL
GCNT2	AR
GCSH	AR
GDAP1	AD/AR
GDAP2	AR
GDF1	AD/AR
GDF11	AD
GDF2	AD
GDF3	AD
GDF5	AD/AR
GDF6	AD/AR
GDF9	AR
GDI1	XL
GDNF	AD
GEMIN4	AR
GEMIN5	AR
GET3	AR
GET4	AR
GFAP	AD
GFER	AR
GFI1	AD
GFI1B	AD
GFM1	AR
GFM2	AR
GFPT1	AR
GFRA1	AR
GGCX	AD/AR
GGN	AR
GGPS1	AR
GGT1	AR
GH1	AD/AR
GHR	AD/AR
GHRHR	AR
GHSR	AD/AR
GIGYF2	AD
GIMAP5	AR
GINS1	AR
GIPC1	AD
GIPC3	AR
GJA1	AD/AR
GJA3	AD
GJA5	AD
GJA8	AD/AR
GJB1	XL
GJB2	AD/AR
GJB3	AD
GJB4	AD
GJB6	AR
GJC2	AD/AR
GK	XL
GLA	XL
GLB1	AR
GLDC	AR
GLDN	AR
GLE1	AR
GLI1	AR
GLI2	AD
GLI3	AD
GLIS2	AR
GLIS3	AR
GLMN	AD
GLRA1	AD/AR
GLRA2	XL
GLRB	AR
GLRX5	AR
GLS	AD/AR
GLUD1	AD
GLUL	AR
GLYCTK	AR
GM2A	AR
GMNN	AD
GMPPA	AR
GMPPB	AR
GNA11	AD
GNAI1	AD
GNAI3	AD
GNAL	AD
GNAO1	AD
GNAS	AD
GNAT1	AD/AR
GNAT2	AR
GNB1	AD
GNB2	AD
GNB3	AR
GNB4	AD
GNB5	AR
GNE	AR
GNMT	AR
GNPAT	AR
GNPNAT1	AR
GNPTAB	AR
GNPTG	AR
GNRH1	AR
GNRHR	AD/AR
GNS	AR
GOLGA2	AR
GON7	AR
GORAB	AR
GOSR2	AR
GOT2	AR
GP1BA	AD/AR
GP1BB	AR
GP6	AR
GP9	AR
GPAA1	AR
GPC3	XL
GPC4	XL
GPC6	AR
GPD1	AR
GPD1L	AD
GPHN	AD/AR
GPI	AD
GPIHBP1	AR
GPNMB	AR
GPR101	XL
GPR143	XL
GPR156	AR
GPR161	AD
GPR179	AR
GPR68	AR
GPR88	AR
GPRASP2	XL
GPRC5B	AD
GPSM2	AR
GPT2	AR
GPX4	AR
GRAP	AR
GREB1L	AD
GREM1	AD
GREM2	AD
GRHL2	AD/AR
GRHL3	AD
GRHPR	AR
GRIA1	AD/AR
GRIA2	AD
GRIA3	XL
GRIA4	AD
GRID2	AR
GRIK2	AD/AR
GRIK4	AD
GRIN1	AD/AR
GRIN2A	AD
GRIN2B	AD
GRIN2D	AD
GRIP1	AR
GRK1	AR
GRM1	AD/AR
GRM6	AR
GRM7	AR
GRN	AD/AR
GRXCR1	AR
GRXCR2	AR
GSC	AR
GSDME	AD
GSN	AD
GSR	AR
GSS	AR
GSTZ1	AR
GTF2E2	AR
GTF2H5	AR
GTPBP1	AR
GTPBP2	AR
GTPBP3	AR
GUCA1A	AD
GUCA1B	AD
GUCY1A1	AR
GUCY2C	AD/AR
GUCY2D	AD/AR
GUF1	AR
GUK1	AR
GUSB	AR
GYG1	AR
GYS1	AR
GYS2	AR
GZF1	AR
H1-4	AD
H19	AD
H3-3A	AD
H3-3B	AD
H4C11	AD
H4C3	AD
H4C5	AD
H4C9	AD
H6PD	AR
HAAO	AR
HABP2	AD
HACD1	AR
HACE1	AR
HADH	AR
HADHA	AR
HADHB	AR
HAL	AR
HAMP	AR
HARS1	AR
HARS2	AR
HAVCR2	AR
HAX1	AR
HBA1	AD/AR
HBA2	AD/AR
HBB	AD/AR
HBG1	AD
HBG2	AD
HCCS	XL
HCFC1	XL
HCK	AD
HCN1	AD
HCN2	AD
HCN4	AD
HCRT	AD
HDAC4	AD
HDAC6	XL
HDAC8	XL
HDAC9	AD
HDC	AD
HEATR3	AR
HECTD4	AR
HECW2	AD
HELLS	AR
HEPACAM	AD/AR
HEPHL1	AR
HERC1	AR
HERC2	AD/AR
HES7	AR
HESX1	AD/AR
HEXA	AR
HEXB	AR
HFE	AR
HFM1	AR
HGD	AR
HGF	AR
HGSNAT	AR
HHAT	AR
HIBCH	AR
HID1	AR
HIKESHI	AR
HINT1	AR
HIVEP2	AD
HJV	AR
HK1	AR
HKDC1	AR
HLA-A	AD
HLA-B	AD
HLCS	AR
HMBS	AD
HMCN1	AD
HMGA2	AD
HMGB3	XL
HMGCL	AR
HMGCR	AD/AR
HMGCS2	AR
HMOX1	AR
HMX1	AD
HNF1A	AD
HNF1B	AD
HNF4A	AD
HNMT	AR
HNRNPA1	AD
HNRNPA2B1	AD
HNRNPC	AD
HNRNPDL	AD
HNRNPH2	XL
HNRNPK	AD
HNRNPR	AD
HNRNPU	AR
HOGA1	AD/AR
HOMER2	AD
HOXA1	AR
HOXA11	AD
HOXA13	AD
HOXA2	AR
HOXB1	AR
HOXB13	AD
HOXC13	AR
HOXD10	AD
HOXD13	AD/AR
HP	AR
HPCA	AR
HPD	AD/AR
HPDL	AR
HPGD	AR
HPRT1	XL
HPS1	AR
HPS3	AR
HPS4	AR
HPS5	AR
HPS6	AR
HPSE2	AR
HR	AR
HRAS	AD
HRG	AD
HRURF	AD
HS2ST1	AR
HS3ST6	AD
HS6ST1	AD/AR
HS6ST2	XL
HSCB	AR
HSD11B1	AD/AR
HSD11B2	AR
HSD17B10	XL
HSD17B3	AR
HSD17B4	AR
HSD3B2	AR
HSD3B7	AR
HSF2BP	AR
HSF4	AD
HSPA1L	AD
HSPA9	AD
HSPB1	AD
HSPB3	AD
HSPB8	AD
HSPD1	AD/AR
HSPG2	AD/AR
HTR1A	AD
HTR2A	AD
HTRA1	AD/AR
HTRA2	AR
HTT	AD/AR
HUWE1	XL
HYAL1	AR
HYAL2	AR
HYDIN	AR
HYLS1	AR
HYOU1	AR
IARS1	AR
IARS2	AR
IBA57	AR
ICOS	AR
IDH2	AD
IDH3A	AR
IDH3B	AR
IDS	XL
IDUA	AR
IER3IP1	AR
IFIH1	AD/AR
IFITM5	AD
IFNAR1	AR
IFNAR2	AR
IFNG	AR
IFNGR1	AD/AR
IFNGR2	AR
IFNL3	AD
IFT122	AR
IFT140	AR
IFT172	AR
IFT27	AR
IFT43	AR
IFT52	AR
IFT57	AR
IFT74	AR
IFT80	AR
IFT81	AR
IFT88	AR
IGBP1	XL
IGF1	AR
IGF1R	AD/AR
IGF2	AD
IGFALS	AR
IGFBP7	AR
IGHM	AR
IGHMBP2	AR
IGKC	AR
IGLL1	AR
IGSF1	XL
IGSF3	AR
IHH	AD/AR
IKBKB	AD/AR
IKBKG	XL
IKZF1	AD
IKZF3	AD
IKZF5	AD
IL10	AD
IL10RA	AR
IL10RB	AR
IL11RA	AR
IL12B	AR
IL12RB1	AR
IL17F	AD
IL17RA	AR
IL17RC	AR
IL17RD	AD
IL18BP	AR
IL1R1	AD
IL1RAPL1	XL
IL1RN	AR
IL21	AR
IL21R	AR
IL2RA	AR
IL2RB	AR
IL2RG	XL
IL31RA	AD
IL36RN	AR
IL37	AR
IL6R	AR
IL6ST	AD/AR
IL7	AR
IL7R	AR
ILDR1	AR
IMPA1	AR
IMPDH1	AD
IMPDH2	AD
IMPG1	AD/AR
IMPG2	AD/AR
INF2	AD
INPP5E	AR
INPP5K	AR
INPPL1	AR
INS	AD
INSL3	AD
INSR	AD/AR
INTS1	AR
INTS11	AR
INTU	AR
INVS	AR
IPMK	AD
IPO8	AR
IQCB1	AR
IQCE	AR
IQCN	AR
IQSEC1	AR
IQSEC2	XL
IRAK4	AR
IREB2	AR
IRF1	AR
IRF2BP2	AD
IRF2BPL	AD
IRF3	AD
IRF4	AD/AR
IRF6	AD
IRF7	AR
IRF8	AD
IRF9	AR
IRS4	XL
IRX5	AR
ISCA1	AR
ISCA2	AR
ISCU	AR
ISG15	AR
ITCH	AR
ITGA2B	AD/AR
ITGA3	AR
ITGA6	AR
ITGA7	AR
ITGA8	AR
ITGB2	AR
ITGB3	AD/AR
ITGB4	AR
ITGB6	AR
ITK	AR
ITM2B	AD
ITPA	AR
ITPR1	AD/AR
ITPR2	AR
ITPR3	AD
IVD	AR
IVNS1ABP	AD
IYD	AR
JAG1	AD
JAG2	AR
JAGN1	AR
JAK1	AD
JAK2	AD
JAK3	AR
JAM2	AR
JAM3	AR
JARID2	AD
JPH1	AR
JPH2	AD/AR
JPH3	AD
JUP	AD/AR
KANK1	AD
KANK2	AR
KANSL1	AD
KARS1	AR
KASH5	AR
KAT5	AD
KAT6A	AD
KAT6B	AD
KAT8	AD
KATNB1	AR
KATNIP	AR
KBTBD13	AD
KCNA1	AD
KCNA2	AD
KCNA4	AR
KCNA5	AD
KCNB1	AD
KCNC1	AD
KCNC2	AD
KCNC3	AD
KCND3	AD
KCNE1	AD/AR
KCNE2	AD
KCNE3	AD
KCNH1	AD/AR
KCNH2	AD
KCNH5	AD
KCNJ1	AR
KCNJ10	AR
KCNJ11	AD/AR
KCNJ13	AD/AR
KCNJ16	AR
KCNJ18	AD
KCNJ2	AD
KCNJ3	AR
KCNJ5	AD
KCNJ6	AD
KCNK18	AD
KCNK3	AD
KCNK4	AD
KCNK9	AD
KCNMA1	AD/AR
KCNN2	AD
KCNN3	AD
KCNN4	AD
KCNQ1	AD/AR
KCNQ1OT1	AD
KCNQ2	AD
KCNQ3	AD
KCNQ4	AD
KCNQ5	AD
KCNT1	AD
KCNT2	AD
KCNU1	AR
KCNV2	AR
KCTD17	AD
KCTD7	AR
KDELR2	AR
KDF1	AD
KDM1A	AD
KDM3B	AD
KDM4B	AD
KDM5A	AR
KDM5B	AR
KDM5C	XL
KDM6A	XL
KDM6B	AD
KDSR	AR
KERA	AR
KHDC3L	AR
KHK	AR
KIAA0586	AR
KIAA0753	AR
KIAA0825	AR
KIAA1549	AR
KIDINS220	AR
KIF11	AD
KIF12	AR
KIF14	AR
KIF15	AR
KIF1A	AD/AR
KIF1B	AD
KIF1C	AR
KIF20A	AR
KIF21A	AD
KIF22	AD
KIF23	AD
KIF26A	AR
KIF2A	AD
KIF3B	AR
KIF4A	XL
KIF5A	AD
KIF5C	AD
KIF7	AR
KIFBP	AR
KIRREL1	AR
KIRREL3	AD
KISS1	AR
KISS1R	AR
KIT	AD
KITLG	AD/AR
KIZ	AR
KL	AR
KLC2	AR
KLF1	AD/AR
KLF11	AD
KLHDC8B	AD
KLHL10	AD
KLHL15	XL
KLHL24	AD/AR
KLHL3	AD/AR
KLHL40	AR
KLHL41	AR
KLHL7	AR
KLK11	AD
KLK4	AR
KLKB1	AR
KLLN	AD
KMT2A	AD
KMT2B	AD
KMT2C	AD
KMT2D	AD
KMT2E	AD
KMT5B	AD
KNG1	AD
KNL1	AR
KPNA3	AD
KPNA7	AR
KPTN	AR
KRAS	AD
KREMEN1	AR
KRIT1	AD
KRT1	AD
KRT10	AD/AR
KRT12	AD
KRT13	AD
KRT14	AD/AR
KRT16	AD
KRT17	AD
KRT2	AD
KRT25	AR
KRT3	AD
KRT4	AD
KRT5	AD/AR
KRT6A	AD
KRT6B	AD
KRT6C	AD
KRT71	AD
KRT74	AD
KRT75	AD
KRT81	AD
KRT83	AD/AR
KRT85	AR
KRT86	AD
KRT9	AD
KY	AR
KYNU	AR
L1CAM	XL
L2HGDH	AR
LACC1	AR
LAGE3	XL
LAMA1	AR
LAMA2	AD/AR
LAMA3	AR
LAMA4	AD
LAMA5	AR
LAMB1	AR
LAMB2	AR
LAMB3	AR
LAMC2	AR
LAMC3	AR
LAMP2	XL
LAMTOR2	AR
LARGE1	AR
LARP7	AR
LARS1	AR
LARS2	AR
LAS1L	XL
LAT	AR
LBR	AD/AR
LBX1	AR
LCA5	AR
LCAT	AR
LCK	AR
LCP2	AR
LCT	AR
LDB3	AD
LDHA	AR
LDHB	AR
LDHD	AR
LDLR	AD/AR
LDLRAP1	AR
LEFTY2	AD
LEMD2	AD/AR
LEMD3	AD
LEP	AR
LEPR	AR
LETM1	AR
LFNG	AR
LGI1	AD
LGI3	AR
LGI4	AR
LGR4	AD
LHB	AR
LHCGR	AR
LHFPL5	AR
LHX3	AR
LHX4	AD
LIAS	AR
LIFR	AR
LIG1	AR
LIG3	AR
LIG4	AR
LIM2	AD/AR
LIMA1	AD
LIMS2	AD
LINGO1	AR
LINS1	AR
LIPA	AR
LIPC	AR
LIPE	AR
LIPH	AR
LIPI	AD
LIPN	AR
LIPT1	AR
LIPT2	AR
LITAF	AD
LMAN1	AR
LMAN2L	AD/AR
LMBR1	AD/AR
LMBRD1	AR
LMBRD2	AD
LMF1	AR
LMNA	AD/AR
LMNB1	AD
LMNB2	AD/AR
LMOD1	AR
LMOD2	AR
LMOD3	AR
LMX1A	AD
LMX1B	AD
LNPK	AR
LOC111365204	AD
LONP1	AR
LORICRIN	AD
LOX	AD
LOXHD1	AR
LOXL3	AR
LPA	AR
LPAR6	AR
LPIN1	AR
LPIN2	AR
LPL	AD/AR
LRAT	AR
LRBA	AR
LRIG2	AR
LRIT3	AR
LRMDA	AR
LRP1	AD/AR
LRP12	AD
LRP2	AR
LRP4	AD/AR
LRP5	AD/AR
LRP6	AD
LRPAP1	AR
LRPPRC	AR
LRRC23	AR
LRRC32	AR
LRRC56	AR
LRRC8A	AD
LRRC8C	AD
LRRK1	AR
LRRK2	AD
LRSAM1	AR
LRTOMT	AR
LSS	AR
LTBP1	AR
LTBP2	AR
LTBP3	AD/AR
LTBP4	AR
LTC4S	AR
LTV1	AR
LYN	AD
LYRM4	AR
LYRM7	AR
LYST	AR
LYZ	AD
LZTFL1	AR
LZTR1	AD/AR
M1AP	AR
MAB21L1	AR
MAB21L2	AR
MACF1	AD
MAD1L1	AR
MAD2L2	AR
MADD	AR
MAF	AD
MAFA	AD
MAFB	AD
MAG	AR
MAGED2	XL
MAGEL2	AD
MAGI2	AR
MAGT1	XL
MAK	AR
MAL	AR
MALT1	AR
MAMLD1	XL
MAN1B1	AR
MAN2B1	AR
MAN2C1	AR
MANBA	AR
MANF	AR
MAOA	XL
MAP1B	AD
MAP2K1	AD
MAP2K2	AD
MAP3K1	AD
MAP3K14	AR
MAP3K20	AD/AR
MAP3K6	AD
MAP3K7	AD
MAPK1	AD
MAPK10	AD
MAPK8IP1	AD
MAPK8IP3	AD
MAPKAPK3	AD
MAPKAPK5	AR
MAPKBP1	AR
MAPRE2	AD
MAPT	AD/AR
MARCHF6	AD
MARK3	AR
MARS1	AR
MARS2	AR
MARVELD2	AR
MASP1	AR
MASP2	AR
MAST1	AD
MAST3	AD
MASTL	AD
MAT1A	AD/AR
MATN3	AD/AR
MATR3	AD
MAX	AD
MB	AD
MBD4	AD/AR
MBD5	AD
MBL2	AD
MBOAT7	AR
MBTPS1	AR
MBTPS2	XL
MC1R	AD
MC2R	AR
MC3R	AD
MC4R	AD
MCAT	AR
MCCC1	AR
MCCC2	AR
MCEE	AR
MCFD2	AR
MCIDAS	AR
MCM10	AR
MCM2	AD
MCM3AP	AR
MCM4	AR
MCM5	AR
MCM6	AD
MCM8	AR
MCM9	AR
MCOLN1	AD/AR
MCPH1	AR
MCTS1	XL
MDFIC	AR
MDH1	AR
MDH2	AR
MDM2	AR
MDM4	AD
MECOM	AD
MECP2	XL
MECR	AR
MED11	AR
MED12	XL
MED12L	AD
MED13	AD
MED13L	AD/AR
MED17	AR
MED23	AR
MED25	AR
MED27	AR
MEF2C	AD
MEFV	AD/AR
MEGF10	AR
MEGF8	AR
MEI1	AR
MEIOB	AR
MEIS2	AD
MEN1	AD
MEOX1	AR
MERTK	AD/AR
MESD	AR
MESP2	AR
MET	AD/AR
METTL13	AD
METTL23	AR
METTL5	AR
MFAP5	AD
MFF	AR
MFN2	AR
MFRP	AR
MFSD2A	AR
MFSD8	AR
MGA	AD
MGAT2	AR
MGME1	AR
MGP	AR
MIA3	AR
MIB1	AD
MICOS13	AR
MICU1	AR
MID1	XL
MID2	XL
MIEF1	AD
MIEF2	AR
MINAR2	AR
MINPP1	AR
MIP	AD
MIPEP	AR
MIR140	AD
MIR17HG	AD
MIR184	AD
MIR204	AD
MIR96	AD
MITF	AD
MKKS	AR
MKRN3	AD
MKS1	AR
MLC1	AR
MLH1	AD/AR
MLH3	AD
MLIP	AR
MLPH	AR
MLYCD	AR
MMAA	AR
MMAB	AR
MMACHC	AR
MMADHC	AR
MME	AR
MMP13	AD/AR
MMP14	AR
MMP19	AD
MMP2	AR
MMP20	AR
MMP21	AR
MMP9	AR
MMUT	AR
MN1	AD
MNS1	AR
MNX1	AD
MOCOS	AR
MOCS1	AR
MOCS2	AR
MOG	AD
MOGS	AR
MORC2	AD
MOS	AR
MOV10L1	AR
MPC1	AR
MPDU1	AR
MPDZ	AR
MPEG1	AD
MPI	AR
MPIG6B	AR
MPL	AD/AR
MPLKIP	AR
MPO	AR
MPV17	AR
MPZ	AD
MPZL2	AR
MR1	AD
MRAP	AR
MRAP2	AD
MRAS	AD
MRE11	AD
MRM2	AR
MRPL12	AR
MRPL3	AR
MRPL39	AR
MRPL44	AR
MRPS14	AR
MRPS16	AR
MRPS2	AR
MRPS22	AR
MRPS23	AR
MRPS25	AR
MRPS28	AR
MRPS34	AR
MRPS7	AR
MRTFA	AR
MS4A1	AR
MSH2	AD/AR
MSH3	AD
MSH4	AR
MSH5	AR
MSH6	AD/AR
MSL2	AD
MSL3	XL
MSMO1	AR
MSN	XL
MSR1	AD
MSRB3	AR
MSTN	AR
MSTO1	AD/AR
MSX1	AD
MSX2	AD
MT-ATP6	MT
MT-ATP8	MT
MT-CO1	MT
MT-CO2	MT
MT-CO3	MT
MT-ND1	MT
MT-ND2	MT
MT-ND3	MT
MT-ND4	MT
MT-ND4L	MT
MT-ND5	MT
MT-ND6	MT
MT-RNR1	MT
MT-RNR2	MT
MT-TC	MT
MT-TE	MT
MT-TF	MT
MT-TH	MT
MT-TK	MT
MT-TL1	MT
MT-TQ	MT
MT-TS1	MT
MT-TS2	MT
MT-TV	MT
MT-TW	MT
MTAP	AD
MTFMT	AR
MTHFD1	AR
MTHFR	AR
MTHFS	AR
MTM1	XL
MTMR2	AR
MTO1	AR
MTOR	AD
MTPAP	AR
MTR	AR
MTRR	AR
MTSS2	AD
MTTP	AR
MTX2	AR
MUC1	AD
MUSK	AR
MUTYH	AR
MVD	AD
MVK	AR
MYBPC1	AD/AR
MYBPC3	AD/AR
MYCN	AD
MYD88	AR
MYF5	AR
MYF6	AD
MYH11	AD/AR
MYH14	AD
MYH2	AD/AR
MYH3	AD
MYH6	AD
MYH7	AD/AR
MYH8	AD
MYH9	AD
MYL1	AR
MYL2	AD
MYL3	AD/AR
MYL4	AD
MYL9	AR
MYLK	AD/AR
MYLK2	AD
MYLPF	AD/AR
MYMK	AR
MYMX	AR
MYO15A	AR
MYO18B	AR
MYO1A	AD
MYO1E	AR
MYO1H	AR
MYO3A	AD/AR
MYO5A	AR
MYO5B	AR
MYO6	AD/AR
MYO7A	AR
MYO9A	AR
MYOC	AD/AR
MYOCD	AD
MYOD1	AR
MYOF	AD
MYORG	AR
MYOT	AD
MYOZ2	AD
MYPN	AD
MYRF	AD
MYSM1	AR
MYT1L	AD
MYZAP	AR
NAA10	XL
NAA15	AD
NAA20	AR
NAA60	AR
NAA80	AR
NACC1	AD
NADK2	AR
NADSYN1	AR
NAE1	AR
NAF1	AD
NAGA	AR
NAGLU	AR
NAGS	AR
NALCN	AD/AR
NANOS1	AD
NANS	AR
NAPB	AR
NARS1	AD/AR
NARS2	AR
NAT1	AD
NAT2	AD
NAT8L	AR
NAXD	AR
NAXE	AR
NBAS	AR
NBEA	AD
NBEAL2	AR
NBN	AD/AR
NCAPD2	AR
NCAPD3	AR
NCAPG2	AR
NCAPH	AR
NCDN	AD
NCF1	AR
NCF2	AR
NCF4	AR
NCKAP1L	AR
NCSTN	AD
NDE1	AR
NDNF	AD
NDP	XL
NDRG1	AR
NDST1	AR
NDUFA1	XL
NDUFA10	AR
NDUFA11	AR
NDUFA12	AR
NDUFA13	AD
NDUFA2	AR
NDUFA4	AR
NDUFA6	AR
NDUFA8	AR
NDUFA9	AR
NDUFAF1	AR
NDUFAF2	AR
NDUFAF3	AR
NDUFAF4	AR
NDUFAF5	AR
NDUFAF6	AR
NDUFAF8	AR
NDUFB10	AR
NDUFB11	XL
NDUFB3	AR
NDUFB8	AR
NDUFB9	AR
NDUFC2	AR
NDUFS1	AR
NDUFS2	AR
NDUFS3	AR
NDUFS4	AR
NDUFS6	AR
NDUFS7	AR
NDUFS8	AR
NDUFV1	AR
NDUFV2	AR
NEB	AR
NECAP1	AR
NECTIN1	AD/AR
NECTIN4	AR
NEDD4L	AD
NEFH	AD
NEFL	AD/AR
NEK1	AR
NEK10	AR
NEK2	AR
NEK8	AD/AR
NEK9	AR
NEMF	AR
NEPRO	AR
NEU1	AR
NEUROD1	AD
NEUROD2	AD
NEUROG1	AR
NEUROG3	AR
NEXMIF	XL
NEXN	AD
NF1	AD
NF2	AD
NFASC	AR
NFATC2	AR
NFE2L2	AD
NFIA	AD
NFIB	AD
NFIX	AD
NFKB1	AD
NFKB2	AD
NFKBIA	AD
NFS1	AR
NFU1	AR
NGF	AR
NGLY1	AR
NHEJ1	AR
NHLH2	AR
NHLRC1	AR
NHLRC2	AR
NHP2	AR
NHS	XL
NIN	AR
NIPA1	AD
NIPAL4	AR
NIPBL	AD
NKAP	XL
NKX2-1	AD
NKX2-5	AD
NKX2-6	AR
NKX3-2	AR
NKX6-2	AR
NLGN1	AD/AR
NLGN3	XL
NLGN4X	XL
NLRC4	AD
NLRP1	AD/AR
NLRP12	AD
NLRP2	AR
NLRP3	AD
NLRP5	AR
NLRP7	AR
NME5	AR
NME8	AR
NMNAT1	AR
NNT	AR
NOBOX	AD
NOD2	AD/AR
NODAL	AD
NOG	AD
NOL3	AD
NONO	XL
NOP10	AD/AR
NOP56	AD
NOS1AP	AR
NOTCH1	AD
NOTCH2	AD
NOTCH2NLC	AD
NOTCH3	AD
NOVA2	AD
NPAT	AD
NPC1	AR
NPC1L1	AD/AR
NPC2	AR
NPHP1	AR
NPHP3	AR
NPHP4	AR
NPHS1	AR
NPHS2	AR
NPPA	AD/AR
NPR2	AD/AR
NPR3	AD
NPRL2	AD
NPRL3	AD
NPTX1	AD
NR0B1	XL
NR1H4	AR
NR2E3	AD/AR
NR2F1	AD
NR2F2	AD
NR3C1	AD/AR
NR3C2	AD
NR4A2	AD
NR5A1	AD/AR
NRAS	AD
NRCAM	AR
NRIP1	AD
NRL	AD/AR
NRROS	AR
NRXN1	AD/AR
NSD1	AD
NSD2	AD
NSDHL	XL
NSMCE2	AR
NSMCE3	AR
NSMF	AD
NSRP1	AR
NSUN2	AR
NSUN3	AR
NSUN6	AR
NT5C2	AR
NT5C3A	AR
NT5E	AR
NTF4	AD
NTHL1	AR
NTN1	AD
NTNG2	AR
NTRK1	AR
NTRK2	AD
NUAK2	AR
NUBPL	AR
NUDT15	AD
NUDT2	AR
NUP107	AR
NUP133	AR
NUP155	AR
NUP160	AR
NUP188	AR
NUP205	AR
NUP210L	AR
NUP214	AR
NUP37	AR
NUP54	AR
NUP62	AR
NUP85	AR
NUP88	AR
NUP93	AR
NUS1	AD/AR
NUTM2B-AS1	AD
NXF5	XL
NXN	AR
NYX	XL
OAS1	AD
OAT	AR
OBSCN	AR
OBSL1	AR
OCA2	AD/AR
OCLN	AR
OCRL	XL
ODAD1	AR
ODAD2	AR
ODAD3	AR
ODAD4	AR
ODAPH	AR
ODC1	AD
OFD1	XL
OGDH	AR
OGDHL	AR
OGT	XL
OPA1	AD
OPA3	AD/AR
OPHN1	XL
OPLAH	AR
OPN1LW	XL
OPN1MW	XL
OPN1SW	AD
OPTN	AD
ORAI1	AR
ORC1	AR
ORC4	AR
ORC6	AR
OSBPL2	AD
OSGEP	AR
OSMR	AD
OSTM1	AR
OTC	XL
OTOA	AR
OTOF	AR
OTOG	AR
OTOGL	AR
OTUD5	XL
OTUD6B	AR
OTUD7A	AD/AR
OTULIN	AD/AR
OTX2	AD
OVOL2	AD
OXCT1	AR
OXGR1	AD
OXR1	AR
P2RX2	AD
P2RY12	AD/AR
P3H1	AR
P3H2	AR
P4HA2	AD
P4HB	AD
P4HTM	AR
PABPC1L	AR
PABPN1	AD/AR
PACS1	AD
PACS2	AD
PADI3	AR
PADI6	AR
PAFAH1B1	AD
PAH	AR
PAICS	AR
PAK1	AD
PAK2	AD
PAK3	XL
PALB2	AD/AR
PALLD	AD
PAM16	AR
PANK2	AD/AR
PANK4	AD
PANX1	AD
PAPPA2	AR
PAPSS2	AR
PARK7	AR
PARN	AD/AR
PARS2	AR
PATL2	AR
PAX1	AR
PAX2	AD
PAX3	AD/AR
PAX4	AD
PAX5	AD
PAX6	AD
PAX7	AR
PAX8	AD
PAX9	AD
PBRM1	AD
PBX1	AD
PC	AR
PCARE	AR
PCBD1	AR
PCCA	AR
PCCB	AR
PCDH12	AR
PCDH15	AR
PCDH19	XL
PCDHGC4	AR
PCGF2	AD
PCIF1	AR
PCK1	AR
PCLO	AR
PCNA	AR
PCNT	AR
PCSK1	AD
PCSK9	AD
PCYT1A	AR
PCYT2	AR
PDCD1	AR
PDCD10	AD
PDCD6IP	AR
PDE10A	AD/AR
PDE11A	AD
PDE1C	AD
PDE2A	AR
PDE3A	AD
PDE4D	AD
PDE6A	AR
PDE6B	AD/AR
PDE6C	AR
PDE6D	AR
PDE6G	AR
PDE6H	AD/AR
PDE8B	AD
PDGFB	AD
PDGFRA	AD
PDGFRB	AD
PDHA1	XL
PDHA2	AR
PDHB	AR
PDHX	AR
PDK3	XL
PDP1	AR
PDSS1	AR
PDSS2	AR
PDX1	AR
PDXK	AR
PDYN	AD
PDZD7	AR
PDZD8	AR
PEPD	AR
PER2	AD
PER3	AD
PERCC1	AR
PERP	AD/AR
PET100	AR
PET117	AR
PEX1	AR
PEX10	AR
PEX11B	AR
PEX12	AR
PEX13	AR
PEX14	AR
PEX16	AR
PEX19	AR
PEX2	AR
PEX26	AR
PEX3	AR
PEX5	AR
PEX6	AR
PEX7	AR
PFKM	AR
PFN1	AD
PGAM2	AR
PGAP1	AR
PGAP2	AR
