gene_symbol	inheritance	prevalence	allelic_het	genetic_het	penetrance	bs1_threshold	ba1_threshold	af_basis	pp2	pp2_requires	pm5_grantham	pm5_excludes	pm5_max	pm5_lp	bs2	ps1	ps1_splice	source_vcep	cspec_url	notes
GAA						0.005	0.01		not_applicable						applicable	applicable		Lysosomal Diseases Variant Curation Expert Panel	https://cspec.genome.network/cspec/ui/svi/svi/GN010	GN010 Released
GALT	AR					0.005	0.01		not_applicable		ge				applicable	applicable	noncanonical	Galactosemia Variant Curation Expert Panel 	https://cspec.genome.network/cspec/ui/svi/svi/GN158	GN158 Released
GAMT						0.001	0.003		not_applicable						applicable	applicable	noncanonical	Cerebral Creatine Deficiency Syndromes Variant Curation Expert Panel	https://cspec.genome.network/cspec/ui/svi/svi/GN026	GN026 Released
GATM	AR					0.0001	0.0005		not_applicable						applicable	applicable	noncanonical	Cerebral Creatine Deficiency Syndromes Variant Curation Expert Panel	https://cspec.genome.network/cspec/ui/svi/svi/GN025	GN025 Released
GCK	AD					0.00004	0.0001		applicable		ge				applicable	applicable	canonical	Monogenic Diabetes Variant Curation Expert Panel	https://cspec.genome.network/cspec/ui/svi/svi/GN086	GN086 Released
GJB2						0.003	0.005		not_applicable					no	applicable	applicable	noncanonical	Hearing Loss Variant Curation Expert Panel	https://cspec.genome.network/cspec/ui/svi/svi/GN005	GN005 Released; BA1: multiple cutoffs in desc — verify; BS1: multiple cutoffs in desc — verify
GP1BA	AR					0.0005	0.001		not_applicable						applicable	applicable		Platelet Disorders Variant Curation Expert Panel	https://cspec.genome.network/cspec/ui/svi/svi/GN079	GN079 Released
GP1BB	AR					0.0005	0.001		not_applicable						applicable	applicable		Platelet Disorders Variant Curation Expert Panel	https://cspec.genome.network/cspec/ui/svi/svi/GN082	GN082 Released
GP9	AR					0.0007	0.001		not_applicable						applicable	applicable		Platelet Disorders Variant Curation Expert Panel	https://cspec.genome.network/cspec/ui/svi/svi/GN083	GN083 Released
GUCY2D	AR					0.0016	0.016		not_applicable						applicable	applicable	noncanonical	Leber Congenital Amaurosis/early onset Retinal Dystrophy Variant Curation Expert Panel	https://cspec.genome.network/cspec/ui/svi/svi/GN167	GN167 Released; BS1: multiple cutoffs in desc — verify
HBA2	AR					0.001	0.005		not_applicable					no	applicable	applicable		Hemoglobinopathy Variant Curation Expert Panel	https://cspec.genome.network/cspec/ui/svi/svi/GN173	GN173 Released
HBB	AR					0.001	0.005		not_applicable					no	applicable	applicable		Hemoglobinopathy Variant Curation Expert Panel	https://cspec.genome.network/cspec/ui/svi/svi/GN170	GN170 Released
HNF1A						0.000033	0.0001		not_applicable		ge				applicable	applicable	canonical	Monogenic Diabetes Variant Curation Expert Panel	https://cspec.genome.network/cspec/ui/svi/svi/GN017	GN017 Released
HNF4A	AD					0.000033	0.0001		not_applicable		ge				applicable	applicable	canonical	Monogenic Diabetes Variant Curation Expert Panel	https://cspec.genome.network/cspec/ui/svi/svi/GN085	GN085 Released
HRAS	AD					0.00025	0.0005		not_applicable			PM1		no	applicable	applicable		RASopathy Variant Curation Expert Panel	https://cspec.genome.network/cspec/ui/svi/svi/GN046	GN046 Released; multiple specs (gene-specific kept)
IDUA	AR					0.0025	0.005		not_applicable						applicable	applicable	noncanonical	Lysosomal Diseases Variant Curation Expert Panel	https://cspec.genome.network/cspec/ui/svi/svi/GN091	GN091 Released
IL2RG	XL					0.00249	0.0111		not_applicable						applicable	applicable		Severe Combined Immunodeficiency Disease  Variant Curation Expert Panel	https://cspec.genome.network/cspec/ui/svi/svi/GN129	GN129 Released
IL7R	AR					0.00126	0.00566		not_applicable						applicable	applicable	noncanonical	Severe Combined Immunodeficiency Disease  Variant Curation Expert Panel	https://cspec.genome.network/cspec/ui/svi/svi/GN119	GN119 Released
ITGA2B						0.00158	0.0024		not_applicable						applicable	applicable		Platelet Disorders Variant Curation Expert Panel	https://cspec.genome.network/cspec/ui/svi/svi/GN011	GN011 Released
ITGB3						0.00158	0.0024		not_applicable						applicable	applicable		Platelet Disorders Variant Curation Expert Panel	https://cspec.genome.network/cspec/ui/svi/svi/GN011	GN011 Released
