GN	version	status	genes	n_codes	label
GN044	2.3.0	Released	KRAS	28	ClinGen RASopathy Expert Panel Specifications to the ACMG/AMP Variant Interpretation Guide
GN045	2.3.0	Released	MAP2K1	28	ClinGen RASopathy Expert Panel Specifications to the ACMG/AMP Variant Interpretation Guide
GN046	2.3.0	Released	HRAS	28	ClinGen RASopathy Expert Panel Specifications to the ACMG/AMP Variant Interpretation Guide
GN047	2.3.0	Released	RIT1	28	ClinGen RASopathy Expert Panel Specifications to the ACMG/AMP Variant Interpretation Guide
GN048	2.3.0	Released	MAP2K2	28	ClinGen RASopathy Expert Panel Specifications to the ACMG/AMP Variant Interpretation Guide
GN049	2.3.0	Released	BRAF	28	ClinGen RASopathy Expert Panel Specifications to the ACMG/AMP Variant Interpretation Guide
GN067	2.0.0	Released	SCN1A	28	ClinGen Epilepsy Sodium Channel Expert Panel Specifications to the ACMG/AMP Variant Interp
GN068	2.0.0	Released	SCN2A	28	ClinGen Epilepsy Sodium Channel Expert Panel Specifications to the ACMG/AMP Variant Interp
GN069	2.1.0	Released	SCN3A	28	ClinGen Epilepsy Sodium Channel Expert Panel Specifications to the ACMG/AMP Variant Interp
GN070	2.0.0	Released	SCN8A	28	ClinGen Epilepsy Sodium Channel Expert Panel Specifications to the ACMG/AMP Variant Interp
GN071	2.0.0	Released	F8	28	ClinGen Coagulation Factor Deficiency Expert Panel Specifications to the ACMG/AMP Variant 
GN076	2.0.0	Released	SCN1B	28	ClinGen Epilepsy Sodium Channel Expert Panel Specifications to the ACMG/AMP Variant Interp
GN077	1.2.0	Released	PALB2	28	ClinGen Hereditary Breast, Ovarian and Pancreatic Cancer Expert Panel Specifications to th
GN078	1.1.0	Released	VHL	28	ClinGen VHL Expert Panel Specifications to the ACMG/AMP Variant Interpretation Guidelines 
GN079	1.1.0	Released	GP1BA	28	ClinGen Platelet Disorders Expert Panel Specifications to the ACMG/AMP Variant Interpretat
GN080	2.1.0	Released	F9	28	ClinGen Coagulation Factor Deficiency Expert Panel Specifications to the ACMG/AMP Variant 
GN081	1.0.0	Released	VWF	28	ClinGen von Willebrand Disease  Expert Panel Specifications to the ACMG/AMP Variant Interp
GN082	1.1.0	Released	GP1BB	28	ClinGen Platelet Disorders Expert Panel Specifications to the ACMG/AMP Variant Interpretat
GN083	1.1.0	Released	GP9	28	ClinGen Platelet Disorders Expert Panel Specifications to the ACMG/AMP Variant Interpretat
GN084	1.1.0	Pilot Rules In Prep	SERPINC1	28	ClinGen Thrombosis Expert Panel Specifications to the ACMG/AMP Variant Interpretation Guid
GN085	4.0.0	Released	HNF4A	28	ClinGen Monogenic Diabetes Expert Panel Specifications to the ACMG/AMP Variant Interpretat
GN086	3.1.0	Released	GCK	28	ClinGen Monogenic Diabetes Expert Panel Specifications to the ACMG/AMP Variant Interpretat
GN087	1.4.0	Released	MRAS	28	ClinGen RASopathy Expert Panel Specifications to the ACMG/AMP Variant Interpretation Guide
GN088	1.3.0	Released	RMRP	28	ClinGen Severe Combined Immunodeficiency Disease  Expert Panel Specifications to the ACMG/
GN089	2.1.0	Released	APC	28	ClinGen InSiGHT Hereditary Colorectal Cancer/Polyposis Expert Panel Specifications to the 
GN090	1.0.0	Released	VWF	28	ClinGen von Willebrand Disease  Expert Panel Specifications to the ACMG/AMP Variant Interp
GN091	1.2.0	Released	IDUA	28	ClinGen Lysosomal Diseases Expert Panel Specifications to the ACMG/AMP Variant Interpretat
GN092	1.2.0	Released	BRCA1	28	ClinGen ENIGMA BRCA1 and BRCA2 Expert Panel Specifications to the ACMG/AMP Variant Interpr
GN094	1.3.0	Released	LZTR1	28	ClinGen RASopathy Expert Panel Specifications to the ACMG/AMP Variant Interpretation Guide
GN095	1.0.0	Released	MYBPC3	28	ClinGen Cardiomyopathy Expert Panel Specifications to the ACMG/AMP Variant Interpretation 
GN097	1.2.0	Released	BRCA2	28	ClinGen ENIGMA BRCA1 and BRCA2 Expert Panel Specifications to the ACMG/AMP Variant Interpr
GN098	1.0.0	Released	TNNI3	28	ClinGen Cardiomyopathy Expert Panel Specifications to the ACMG/AMP Variant Interpretation 
GN099	1.0.0	Released	TNNT2	28	ClinGen Cardiomyopathy Expert Panel Specifications to the ACMG/AMP Variant Interpretation 
GN100	1.0.0	Released	TPM1	28	ClinGen Cardiomyopathy Expert Panel Specifications to the ACMG/AMP Variant Interpretation 
GN101	1.0.0	Released	ACTC1	28	ClinGen Cardiomyopathy Expert Panel Specifications to the ACMG/AMP Variant Interpretation 
GN102	1.0.0	Released	MYL2	28	ClinGen Cardiomyopathy Expert Panel Specifications to the ACMG/AMP Variant Interpretation 
GN103	1.0.0	Released	MYL3	28	ClinGen Cardiomyopathy Expert Panel Specifications to the ACMG/AMP Variant Interpretation 
GN104	1.0.0	Released	CYP1B1	28	ClinGen Glaucoma Expert Panel Specifications to the ACMG/AMP Variant Interpretation Guidel
GN105	1.0.0	Released	ABCD1	28	ClinGen Peroxisomal Disorders Expert Panel Specifications to the ACMG/AMP Variant Interpre
GN106	1.0.0	Released	RPGR	28	ClinGen X-linked Inherited Retinal Disease Expert Panel Specifications to the ACMG/AMP Var
GN112	1.0.0	Released	KCNQ1	28	ClinGen Potassium Channel Arrhythmia Expert Panel Specifications to the ACMG/AMP Variant I
GN113	2.3.0	Released	FOXN1	28	ClinGen Severe Combined Immunodeficiency Disease  Expert Panel Specifications to the ACMG/
GN114	2.1.0	Pilot Rules Submitted	ADA	28	ClinGen Severe Combined Immunodeficiency Disease  Expert Panel Specifications to the ACMG/
GN115	2.0.0	Pilot Rules Submitted	MLH1	28	ClinGen InSiGHT Hereditary Colorectal Cancer/Polyposis Expert Panel Specifications to the 
GN116	2.2.0	Released	DCLRE1C	28	ClinGen Severe Combined Immunodeficiency Disease  Expert Panel Specifications to the ACMG/
GN119	2.2.0	Released	IL7R	28	ClinGen Severe Combined Immunodeficiency Disease  Expert Panel Specifications to the ACMG/
GN120	1.0.0	Released	RPE65	28	ClinGen Leber Congenital Amaurosis/early onset Retinal Dystrophy Expert Panel Specificatio
GN121	2.3.0	Released	JAK3	28	ClinGen Severe Combined Immunodeficiency Disease  Expert Panel Specifications to the ACMG/
GN122	1.0.0	Pilot Rules In Prep	CTLA4	28	ClinGen Antibody Deficiencies Expert Panel Specifications to the ACMG/AMP Variant Interpre
GN123	2.2.0	Released	RAG1	28	ClinGen Severe Combined Immunodeficiency Disease  Expert Panel Specifications to the ACMG/
GN124	2.2.0	Released	RAG2	28	ClinGen Severe Combined Immunodeficiency Disease  Expert Panel Specifications to the ACMG/
GN125	2.0.0	Released	BMPR2	28	ClinGen Pulmonary Hypertension Expert Panel Specifications to the ACMG/AMP Variant Interpr
GN126	1.0.0	Released	RS1	28	ClinGen X-linked Inherited Retinal Disease Expert Panel Specifications to the ACMG/AMP Var
GN127	1.3.0	Pilot Rules In Prep	RRAS2	28	ClinGen RASopathy Expert Panel Specifications to the ACMG/AMP Variant Interpretation Guide
GN128	1.3.0	Released	PPP1CB	28	ClinGen RASopathy Expert Panel Specifications to the ACMG/AMP Variant Interpretation Guide
GN129	2.2.0	Released	IL2RG	28	ClinGen Severe Combined Immunodeficiency Disease  Expert Panel Specifications to the ACMG/
GN135	1.1.0	Released	ACVRL1	28	ClinGen Hereditary Hemorrhagic Telangiectasia Expert Panel Specifications to the ACMG/AMP 
GN136	1.1.0	Released	ENG	28	ClinGen Hereditary Hemorrhagic Telangiectasia Expert Panel Specifications to the ACMG/AMP 
GN137	2.0.0	Pilot Rules Submitted	MSH2	28	ClinGen InSiGHT Hereditary Colorectal Cancer/Polyposis Expert Panel Specifications to the 
GN138	2.0.0	Pilot Rules Submitted	MSH6	28	ClinGen InSiGHT Hereditary Colorectal Cancer/Polyposis Expert Panel Specifications to the 
GN139	2.0.0	Pilot Rules Submitted	PMS2	28	ClinGen InSiGHT Hereditary Colorectal Cancer/Polyposis Expert Panel Specifications to the 
GN141	1.0.0	Released	PIK3CD	28	ClinGen Antibody Deficiencies Expert Panel Specifications to the ACMG/AMP Variant Interpre
GN146	1.0.0	Released	NEB	28	ClinGen Congenital Myopathies Expert Panel Specifications to the ACMG/AMP Variant Interpre
GN147	2.0.0	Released	ACTA1	28	ClinGen Congenital Myopathies Expert Panel Specifications to the ACMG/AMP Variant Interpre
GN148	1.0.0	Released	DNM2	28	ClinGen Congenital Myopathies Expert Panel Specifications to the ACMG/AMP Variant Interpre
GN149	1.0.0	Released	MTM1	28	ClinGen Congenital Myopathies Expert Panel Specifications to the ACMG/AMP Variant Interpre
